Overall,Bib,Name,Time
611,10014,Liz Monroe,4:28:48
612,3141,Aryn Wiseman,4:28:50
613,14003,Kyle Weller,4:29:11
614,6173,Thomas Chapman,4:29:13
615,10111,Mark Cranage,4:29:16
616,3043,Heather Smith,4:29:22
617,20203,Almi Del Villar,4:29:28
618,1099,Nicholas Petsch,4:29:36
619,7031,Jacquelyne Cabot,4:29:36
620,8096,Matt Spivey,4:29:38
621,11125,Gregory Flanagan,4:29:38
622,10121,Farmega Buchanan,4:29:42
623,6105,Brenda Harris,4:29:46
624,12051,Terry Dietzler,4:29:51
625,15051,Brian Waller,4:29:54
626,21007,Heather Magee,4:30:01
627,6038,Andrew Hodges,4:30:08
628,11092,Elizabeth Green,4:30:10
629,13066,Christopher Taylor,4:30:10
630,8078,Hernesto Gamino,4:30:11
631,6178,Natalie Daniel,4:30:12
632,6091,Justin Doherty,4:30:18
633,6078,Mary Creswell,4:30:20
634,8050,Phil Garceau,4:30:24
635,2117,Sylvia Buchanan,4:30:25
636,6183,Jennifer Boling,4:30:25
637,22110,Donald Austin,4:30:37
638,13085,Tabitha Kim,4:30:40
639,11058,Brian Smith,4:30:40
640,20165,William Fisher,4:30:43
641,6199,Kayla Clark,4:30:49
642,13046,Carrie Terlecky,4:30:51
643,17055,Christopher Deberry,4:30:51
644,8158,James Brooks,4:30:51
645,9072,Ryan Neuwirth,4:30:53
646,18128,Kenneth Knappenberger,4:30:56
647,15067,Scott Mcguire,4:30:56
648,2020,Brandon Kline,4:30:56
649,5102,Peggy Obrien,4:30:59
650,6171,Melissa Boothe,4:30:59
651,11106,Patrick Good,4:31:03
652,12131,Julie Landrum,4:31:09
653,17040,Laura Kent,4:31:12
654,10010,Nadine Connell,4:31:20
655,14025,Alissa Furches,4:31:33
656,19158,Robert Lange,4:31:50
657,20147,Emily Cook,4:31:51
658,4000,Laura Burns,4:31:54
659,24086,Stephanie Kuharik,4:32:04
660,25085,Ashley Lawton,4:32:11
661,13013,Jeffrey Mcmillen,4:32:18
662,6085,Jeremy Granger,4:32:33
663,3098,Josh Gress,4:32:40
664,10123,Scot Nixon,4:32:41
665,9084,Brian Burks,4:32:42
666,9010,Zack Tanenbaum,4:32:46
667,6093,Jon Morgan Kresken,4:32:50
668,16111,Charles Duggan,4:32:52
669,3070,Jennifer Principe,4:33:01
670,3071,Bryan Principe,4:33:01
671,7038,Ashley Crawford,4:33:02
672,26323,Julie Wolfe,4:33:06
673,13010,Julianne Lansfield,4:33:16
674,6186,Chris Green,4:33:34
675,5097,Randall Self,4:33:37
676,4067,Michael Rice,4:33:45
677,7208,Kenny Johnson,4:33:54
678,22067,Margaret Legro,4:33:56
679,27012,Patricia Diaz,4:33:57
680,26253,Kayleah Maddock,4:33:58
681,9052,Rose Little,4:34:03
682,5090,Ryan Beaumont,4:34:07
683,8037,Kenny Ferguson,4:34:13
684,16191,Jaclyn Doherty,4:34:22
685,10091,Caprice Mcgrail,4:34:27
686,3157,Trent Smith,4:34:27
687,16200,Amy Adams,4:34:31
688,5038,Emily Mcgowan,4:34:35
689,10066,Rick Weathers,4:34:44
690,6040,Shafiq Vallani,4:34:57
691,8005,Haley Smith,4:35:02
692,8127,Dan Smith,4:35:02
693,23036,Lindsey Taylor,4:35:03
694,6061,Jason Aarhus,4:35:10
695,8100,William Glenn,4:35:11
696,15010,Marggie O'Brian,4:35:14
697,21070,Harini Suresh,4:35:15
698,5003,Kaitlyn Tobin,4:35:16
699,3151,Thomas Fleming,4:35:17
700,10145,Matthew Bergquist,4:35:18
701,21149,Mark Wheeler,4:35:22
702,4020,Zachary Taunton,4:35:24
703,16039,Meredith Abernethy,4:35:32
704,3015,Tyler Brown,4:35:39
705,11068,Jillian Foster,4:35:42
706,7051,Jaime Gerhart,4:35:46
707,7166,Tanner Murphy,4:35:48
708,8165,Gregg Loughman,4:35:50
709,3082,Lee Sherbakoff,4:35:52
710,11014,Marla Alber,4:35:55
